1. ado2gh/agents/migration_agent/constants.py:8 | rule 2 | Runtime limits and timeouts at lines 8 through 27 are fixed module values with no override. | Add AgentRuntimeSettings under AdvancedSettings in ado2gh/api/settings_models.py and load those fields into the agent runtime.
45. services/agent/routes/_helpers.py:254 | rule 1 | Accelerator request and health timeouts are raw values at lines 254 and 714. | Add accelerator_request_timeout_seconds and accelerator_health_timeout_seconds to LocalAgentProfile in services/agent/profiles.py.

46. services/agent/routes/_helpers.py:679 | rule 1 | The approval route, manual status code, and audit event names are raw protocol values. | Add PLATFORM_APPROVALS_PATH in ado2gh/api/proxy_prefixes.py and use AuditEventName plus FastAPI status constants.

47. services/agent/routes/_helpers.py:89 | rule 3 | The comment uses ticket identifiers instead of a durable error-redaction rule. | Rewrite it as a plain boundary rule; no new setting is needed.

48. services/agent/profiles.py:53 | rule 1 | Default service URLs and database path are literal configuration values. | Add DEFAULT_ACCELERATOR_URL, DEFAULT_AGENT_URL, and DEFAULT_SQLITE_PATH in services/agent/profiles.py.

49. services/agent/profiles.py:3 | rule 3 | The module comment names a numbered implementation task. | Describe the module purpose without the task reference; no new setting is needed.

50. services/agent/main.py:77 | rule 1 | Session statuses and manual 401 responses are hardcoded. | Use SessionState and FastAPI HTTP_401_UNAUTHORIZED.

51. services/agent/main.py:155 | rule 1 | The CORS environment variable and localhost origin are directly repeated configuration. | Add ServiceHttpSettings.cors_origins in ado2gh/api/service_settings.py and load CORS_ORIGINS once.

52. services/agent/main.py:90 | rule 3 | The comment names current compose files and manifests and cites a task identifier. | Describe the authentication boundary without listing current deployment callers; no new setting is needed.

53. services/accelerator_api/main.py:97 | rule 1 | The API version is hardcoded instead of using the package version. | Import __version__ from ado2gh.

54. services/accelerator_api/main.py:153 | rule 1 | Manual 401 responses and CORS configuration are raw values. | Use FastAPI HTTP_401_UNAUTHORIZED and ServiceHttpSettings.cors_origins in ado2gh/api/service_settings.py.

55. services/accelerator_api/main.py:11 | rule 3 | The comment lists callers that can change, including deployment and automation files. | Replace it with a stable module-entry-point statement; no new setting is needed.

56. services/accelerator_api/routes/migrate_guard.py:69 | rule 1 | HTTP status codes are typed directly. | Use FastAPI HTTP_422_UNPROCESSABLE_ENTITY and HTTP_403_FORBIDDEN.

57. services/accelerator_api/routes/migrate_guard.py:131 | rule 1 | The audit event and migrate_job scope type are raw protocol strings. | Add AuditEventName and MIGRATE_JOB_SCOPE_TYPE in ado2gh/api/live_approval_scopes.py.

58. services/accelerator_api/routes/migrate_guard.py:1 | rule 3 | The module comment is organized around a task identifier. | Describe the shared live-execution guard without the identifier; no new setting is needed.

59. services/accelerator_api/routes/_shared.py:130 | rule 1 | Default database and migration-config paths bypass the existing advanced settings. | Use AdvancedSettings.db_path and AdvancedSettings.config_path from ado2gh/api/settings_models.py.

60. services/accelerator_api/routes/_shared.py:42 | rule 3 | The comment depends on a specific caller module and test-patching arrangement. | Describe the lazy indirection contract without naming the caller; no new setting is needed.

61. ado2gh/api/pipeline_models.py:125 | rule 1 | Pipeline run status values are raw strings rather than typed protocol values. | Add PipelineRunStatus in ado2gh/api/pipeline_models.py.

62. ado2gh/api/pipeline_models.py:27 | rule 2 | Pipeline metadata is split across accelerator, user-interface, runner, and prerequisite registries. | Add PipelineStepDefinition as the single registry in ado2gh/api/pipeline_models.py.

63. ado2gh/api/pipeline_steps.py:55 | rule 3 | The comment uses the FR-011 ticket label to explain the handler contract. | State the stable handler contract without the identifier; no new setting is needed.

64. ado2gh/api/pipeline_runner.py:147 | rule 1 | Pipeline run statuses are assigned as repeated string literals. | Use PipelineRunStatus from ado2gh/api/pipeline_models.py.

65. ado2gh/api/pipeline_runner.py:9 | rule 3 | The comment relies on a task identifier. | Replace it with the reason for the re-export; no new setting is needed.

66. ado2gh/api/step_prerequisites.py:24 | rule 1 | Satisfied step statuses are raw strings despite the existing StepStatus enum. | Use StepStatus values from ado2gh/api/pipeline_models.py.

67. ado2gh/api/step_prerequisites.py:1 | rule 3 | The module comment includes the FR-009 task identifier and private implementation details. | Describe prerequisite behavior without task labels or private module references; no new setting is needed.

68. ado2gh/core/concurrency.py:14 | rule 2 | Concurrency and rate limits are duplicated as dataclass defaults and fallback values instead of persisted settings. | Add ConcurrencySettings under AdvancedSettings in ado2gh/api/settings_models.py.

69. ado2gh/core/redis_queue.py:14 | rule 1 | Queue name, Redis URL, and pop timeout are raw defaults. | Add RedisQueueSettings in ado2gh/state/storage_config.py.

70. ado2gh/clients/gh_client.py:24 | rule 1 | GitHub base URL, headers, API version, request timeout, and not-found status are embedded in the client. | Use GitHubClientSettings in ado2gh/clients/gh_client.py and HTTPStatus.NOT_FOUND.

71. ado2gh/clients/gh_client.py:242 | rule 1 | Issue title and body length limits are inline. | Add GITHUB_ISSUE_TITLE_MAX_CHARS and GITHUB_ISSUE_BODY_MAX_CHARS in ado2gh/clients/gh_client.py.

72. ado2gh/api/accelerator.py:64 | rule 1 | The rotating-token environment slot limit is hardcoded as 20. | Add MAX_TOKEN_ENV_SLOTS in ado2gh/api/accelerator.py.

73. ado2gh/api/accelerator.py:162 | rule 3 | The comment uses task identifiers as the explanation for a boundary conversion. | State the external-to-internal execution-mode rule directly; no new setting is needed.

Rule 1: 41  
Rule 2: 10  
Rule 3: 22
